state_2001,district_2001,state_2011,district_2011,n_2011_districts_from_2001,n_2001_districts_into_2011,relationship_type,change_usable,harmonization_method,status,source_url
Andaman and Nicobar Islands,Andamans,Andaman and Nicobar Islands,North & Middle Andaman,2,1,one_to_many_split,"Yes, after aggregation",Aggregate all 2011 child numerators and denominators to 2001 parent,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Andaman and Nicobar Islands,Andamans,Andaman and Nicobar Islands,South Andaman,2,1,one_to_many_split,"Yes, after aggregation",Aggregate all 2011 child numerators and denominators to 2001 parent,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Andaman and Nicobar Islands,Nicobars,Andaman and Nicobar Islands,Nicobar,1,1,one_to_one_renamed,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Andhra Pradesh,Adilabad,Andhra Pradesh,Adilabad,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Andhra Pradesh,Anantapur,Andhra Pradesh,Anantapur,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Andhra Pradesh,Chittoor,Andhra Pradesh,Chittoor,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Andhra Pradesh,Cuddapah,Andhra Pradesh,Y.S.R.,1,1,one_to_one_renamed,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Andhra Pradesh,East Godavari,Andhra Pradesh,East Godavari,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Andhra Pradesh,Guntur,Andhra Pradesh,Guntur,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Andhra Pradesh,Hyderabad,Andhra Pradesh,Hyderabad,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Andhra Pradesh,Karimnagar,Andhra Pradesh,Karimnagar,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Andhra Pradesh,Khammam,Andhra Pradesh,Khammam,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Andhra Pradesh,Krishna,Andhra Pradesh,Krishna,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Andhra Pradesh,Kurnool,Andhra Pradesh,Kurnool,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Andhra Pradesh,Mahbubnagar,Andhra Pradesh,Mahbubnagar,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Andhra Pradesh,Medak,Andhra Pradesh,Medak,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Andhra Pradesh,Nalgonda,Andhra Pradesh,Nalgonda,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Andhra Pradesh,Nellore,Andhra Pradesh,Sri Potti Sriramulu Nellore,1,1,one_to_one_renamed,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Andhra Pradesh,Nizamabad,Andhra Pradesh,Nizamabad,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Andhra Pradesh,Prakasam,Andhra Pradesh,Prakasam,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Andhra Pradesh,Rangareddi,Andhra Pradesh,Rangareddy,1,1,one_to_one_renamed,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Andhra Pradesh,Srikakulam,Andhra Pradesh,Srikakulam,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Andhra Pradesh,Visakhapatnam,Andhra Pradesh,Visakhapatnam,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Andhra Pradesh,Vizianagaram,Andhra Pradesh,Vizianagaram,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Andhra Pradesh,Warangal,Andhra Pradesh,Warangal,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Andhra Pradesh,West Godavari,Andhra Pradesh,West Godavari,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Arunachal Pradesh,Changlang,Arunachal Pradesh,Changlang,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Arunachal Pradesh,Dibang Valley,Arunachal Pradesh,Dibang Valley,2,1,one_to_many_split,"Yes, after aggregation",Aggregate all 2011 child numerators and denominators to 2001 parent,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Arunachal Pradesh,Dibang Valley,Arunachal Pradesh,Lower Dibang Valley,2,1,one_to_many_split,"Yes, after aggregation",Aggregate all 2011 child numerators and denominators to 2001 parent,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Arunachal Pradesh,East Kameng,Arunachal Pradesh,East Kameng,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Arunachal Pradesh,East Siang,Arunachal Pradesh,East Siang,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Arunachal Pradesh,Lohit,Arunachal Pradesh,Anjaw,2,1,one_to_many_split,"Yes, after aggregation",Aggregate all 2011 child numerators and denominators to 2001 parent,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Arunachal Pradesh,Lohit,Arunachal Pradesh,Lohit,2,1,one_to_many_split,"Yes, after aggregation",Aggregate all 2011 child numerators and denominators to 2001 parent,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Arunachal Pradesh,Lower Subansiri,Arunachal Pradesh,Kurung Kumey,2,1,one_to_many_split,"Yes, after aggregation",Aggregate all 2011 child numerators and denominators to 2001 parent,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Arunachal Pradesh,Lower Subansiri,Arunachal Pradesh,Lower Subansiri,2,1,one_to_many_split,"Yes, after aggregation",Aggregate all 2011 child numerators and denominators to 2001 parent,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Arunachal Pradesh,Papum Pare,Arunachal Pradesh,Papum Pare,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Arunachal Pradesh,Tawang,Arunachal Pradesh,Tawang,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
