state_no,state,canonical_language,assignment_source,mother_tongue_name_2001,mother_tongue_code_2001,mapping_status_2001,include_2001_level,mother_tongue_name_2011,mother_tongue_code_2011,mapping_status_2011,include_2011_level,include_common_2001_2011_change,overall_status,ambiguity_note
1,Jammu & Kashmir,Balti,user_addition,BALTI,029002,exact source spelling,True,Balti,029002,exact source spelling,True,True,ready,
1,Jammu & Kashmir,Bhotiya,user_addition,BHOTIA,031001,source alias/combined label,True,Bhotia,031001,source alias/combined label,True,True,ready_with_source_caveat,Census label combines the requested name with a variant or paired name
1,Jammu & Kashmir,Dogri,official_source,DOGRI,004001,exact source spelling,True,Dogri,004001,exact source spelling,True,True,ready,
1,Jammu & Kashmir,English,official_source,ENGLISH,040001,exact source spelling,True,English,040001,exact source spelling,True,True,ready,
1,Jammu & Kashmir,Hindi,official_source,HINDI,006118,exact source spelling,True,Hindi,006240,exact source spelling,True,True,ready,
1,Jammu & Kashmir,Kashmiri,official_source,KASHMIRI,008002,exact source spelling,True,Kashmiri,008005,exact source spelling,True,True,ready,
1,Jammu & Kashmir,Ladakhi,user_addition,LADAKHI,073002,exact source spelling,True,Ladakhi,073003,exact source spelling,True,True,ready,
1,Jammu & Kashmir,Shina,user_addition,SHINA,108005,exact source spelling,True,Shina,109005,exact source spelling,True,True,ready,
1,Jammu & Kashmir,Tibetan,user_addition,TIBETAN,114008,exact source spelling,True,Tibetan,115008,exact source spelling,True,True,ready,
1,Jammu & Kashmir,Urdu,official_source,URDU,022014,exact source spelling,True,Urdu,022015,exact source spelling,True,True,ready,
2,Himachal Pradesh,Bhotiya,user_addition,BHOTIA,031001,source alias/combined label,True,Bhotia,031001,source alias/combined label,True,True,ready_with_source_caveat,Census label combines the requested name with a variant or paired name
2,Himachal Pradesh,Hindi,official_source,HINDI,006118,exact source spelling,True,Hindi,006240,exact source spelling,True,True,ready,
2,Himachal Pradesh,Kinnauri,user_addition,KINNAURI,059003,exact source spelling,True,Kinnauri,059003,exact source spelling,True,True,ready,
2,Himachal Pradesh,Lahauli,user_addition,LAHAULI,074002,exact source spelling,True,Lahauli,074002,exact source spelling,True,True,ready,
2,Himachal Pradesh,Sanskrit,official_source,SANSKRIT,017002,exact source spelling,True,Sanskrit,017002,exact source spelling,True,True,ready,
2,Himachal Pradesh,Tibetan,user_addition,TIBETAN,114008,exact source spelling,True,Tibetan,115008,exact source spelling,True,True,ready,
3,Punjab,Lahnda,user_addition,LAHNDA,075000,exact source spelling; parent row only,True,LAHNDA,075000,exact source spelling; parent row only,True,True,ready_with_source_caveat,"at least one year has only a parent row, not a distinct child mother-tongue row"
3,Punjab,Punjabi,official_source,PUNJABI,016018,exact source spelling,True,Punjabi,016038,exact source spelling,True,True,ready,
4,Chandigarh,English,official_source,ENGLISH,040001,exact source spelling,True,English,040001,exact source spelling,True,True,ready,
5,Uttarakhand,Bhotiya,user_addition,BHOTIA,031001,source alias/combined label,True,Bhotia,031001,source alias/combined label,True,True,ready_with_source_caveat,Census label combines the requested name with a variant or paired name
5,Uttarakhand,Hindi,official_source,HINDI,006118,exact source spelling,True,Hindi,006240,exact source spelling,True,True,ready,
5,Uttarakhand,Sanskrit,official_source,SANSKRIT,017002,exact source spelling,True,Sanskrit,017002,exact source spelling,True,True,ready,
5,Uttarakhand,Tibetan,user_addition,TIBETAN,114008,exact source spelling,True,Tibetan,115008,exact source spelling,True,True,ready,
6,Haryana,English,official_source,ENGLISH,040001,exact source spelling,True,English,040001,exact source spelling,True,True,ready,
6,Haryana,Hindi,official_source,HINDI,006118,exact source spelling,True,Hindi,006240,exact source spelling,True,True,ready,
6,Haryana,Punjabi,official_source,PUNJABI,016018,exact source spelling,True,Punjabi,016038,exact source spelling,True,True,ready,
7,Delhi,English,official_source,ENGLISH,040001,exact source spelling,True,English,040001,exact source spelling,True,True,ready,
7,Delhi,Hindi,official_source,HINDI,006118,exact source spelling,True,Hindi,006240,exact source spelling,True,True,ready,
7,Delhi,Punjabi,official_source,PUNJABI,016018,exact source spelling,True,Punjabi,016038,exact source spelling,True,True,ready,
7,Delhi,Urdu,official_source,URDU,022014,exact source spelling,True,Urdu,022015,exact source spelling,True,True,ready,
8,Rajasthan,Bhili,user_addition,BHILI/BHILODI,030007,source alias/combined label,True,Bhili/Bhilodi,030007,source alias/combined label,True,True,ready_with_source_caveat,Census label combines the requested name with a variant or paired name
8,Rajasthan,Hindi,official_source,HINDI,006118,exact source spelling,True,Hindi,006240,exact source spelling,True,True,ready,
9,Uttar Pradesh,Hindi,official_source,HINDI,006118,exact source spelling,True,Hindi,006240,exact source spelling,True,True,ready,
9,Uttar Pradesh,Kurukh,user_addition,KURUKH/ORAON,072009,source alias/combined label,True,Kurukh/Oraon,072024,source alias/combined label,True,True,ready_with_source_caveat,Census label combines the requested name with a variant or paired name
9,Uttar Pradesh,Urdu,official_source,URDU,022014,exact source spelling,True,Urdu,022015,exact source spelling,True,True,ready,
10,Bihar,Hindi,official_source,HINDI,006118,exact source spelling,True,Hindi,006240,exact source spelling,True,True,ready,
10,Bihar,Kurukh,user_addition,KURUKH/ORAON,072009,source alias/combined label,True,Kurukh/Oraon,072024,source alias/combined label,True,True,ready_with_source_caveat,Census label combines the requested name with a variant or paired name
10,Bihar,Malto,user_addition,MALTO,083000,exact source spelling; parent row only,True,MALTO,083000,exact source spelling; parent row only,True,True,ready_with_source_caveat,"at least one year has only a parent row, not a distinct child mother-tongue row"
10,Bihar,Urdu,official_source,URDU,022014,exact source spelling,True,Urdu,022015,exact source spelling,True,True,ready,
11,Sikkim,Bhotiya,user_addition,BHOTIA,031001,source alias/combined label,True,Bhotia,031001,source alias/combined label,True,True,ready_with_source_caveat,Census label combines the requested name with a variant or paired name
11,Sikkim,English,official_source,ENGLISH,040001,exact source spelling,True,English,040001,exact source spelling,True,True,ready,
11,Sikkim,Gurung,official_source,,,not separately tabulated,False,,,not separately tabulated,False,False,not_common_year_comparable,not separately tabulated in 2001; not separately tabulated in 2011
11,Sikkim,Lepcha,official_source + user_addition,LEPCHA,078001,exact source spelling,True,Lepcha,078001,exact source spelling,True,True,ready,
11,Sikkim,Limbu,official_source,LIMBU,080002,exact source spelling,True,Limbu,080002,exact source spelling,True,True,ready,
11,Sikkim,Magar,official_source,,,not separately tabulated,False,,,not separately tabulated,False,False,not_common_year_comparable,not separately tabulated in 2001; not separately tabulated in 2011
11,Sikkim,Mukhia,official_source,,,not separately tabulated,False,,,not separately tabulated,False,False,not_common_year_comparable,not separately tabulated in 2001; not separately tabulated in 2011
11,Sikkim,Nepali,official_source,NEPALI,014009,exact source spelling,True,Nepali,014011,exact source spelling,True,True,ready,
11,Sikkim,Newari,official_source,,,not separately tabulated,False,,,not separately tabulated,False,False,not_common_year_comparable,not separately tabulated in 2001; not separately tabulated in 2011
11,Sikkim,Rai,official_source + user_addition,RAI,102002,exact source spelling,True,Rai,103003,exact source spelling,True,True,ready,
11,Sikkim,Sherpa,official_source + user_addition,SHERPA,107001,exact source spelling,True,Sherpa,108001,exact source spelling,True,True,ready,
