paper_id,placement,artifact_type,publication_status,title,publication_artifact,source_artifact,generating_script,estimand_or_content,caption,architecture_version,frozen_date
Figure 1,Main,Figure,Built,Far-right support over time by ideology,outputs/paper_descriptive_figures_v1_0/main/Figure_1_aid_lmic_far_right_support_over_time.pdf,outputs/paper_descriptive_figures_v1_0/figure_data/Figure_1_source_data.csv,R/32_build_main_descriptive_figures_v1_0.R,Equal-country survey-wave mean far-right support by ideology in AIDs and LMICs; broad ideology definition,"Far-right vote share by ideological self-placement and survey wave. The main ideology definition classifies E033 scores 1-4 as Left, 5-6 as Moderate, and 7-10 as Right. Each point is an equal-country survey-wave mean after applying survey weights within country-surveys. AIDs include WVS and EVS observations; LMICs include WVS observations only. Far-right support is measured from respondents' party-choice or party-appeal responses: E179_WVS in WVS; E179 in EVS waves 1-4, with E181/E181A used as fallbacks where applicable; EVS wave 5 uses E181A.",v1.3,2026-08-24
Figure 2,Main,Figure,Built,Adjusted probability of far-right support by ideology,outputs/paper_descriptive_figures_v1_0/main/Figure_2_adjusted_far_right_support_by_ideology.pdf,outputs/paper_descriptive_figures_v1_0/figure_data/Figure_2_adjusted_probabilities.csv,R/32_build_main_descriptive_figures_v1_0.R,Country-fixed-effect LPM counterfactual-standardized probability of far-right support by ideology,"Counterfactual-standardized probabilities from a survey-weighted respondent-level linear probability model with country fixed effects and country-clustered standard errors. The ideology definition is Left 1-4, Moderate 5-6, and Right 7-10. Error bars are 95% confidence intervals. Moderate support exceeds Left support by 4.3 percentage points (95% CI 2.6 to 6.0); Right support exceeds Moderate support by 6.3 percentage points (95% CI 3.4 to 9.3).",v1.3,2026-08-24
Figure 3,Main,Figure,Built,"BJP vote share by voter ideology, 2009 and 2014",outputs/paper_descriptive_figures_v1_0/main/Figure_3_nes_bjp_vote_share_by_ideology.pdf,outputs/paper_descriptive_figures_v1_0/figure_data/Figure_3_source_data.csv,R/32_build_main_descriptive_figures_v1_0.R,"Survey-weighted BJP vote share among audited Left, Center, and Right NES respondents in 2009 and 2014","Survey-weighted BJP vote shares among respondents classified Left, Center, or Right in the National Election Studies. Mixed respondents are omitted from the bars. 2009: n=4,216 (11.5% of the full sample); 21.4% of Mixed respondents with valid reported votes voted BJP (weighted). 2014: n=10,464 (46.9% of the full sample); 34.4% voted BJP (weighted). 2009 classification: 2/2 recognition items + at least 2/3 statism items in the same bucket. 2014 classification: Q10b + Q10e + corrected Q23c all support the same bucket. Weights: stpop1 (2009) and stpop (2014).",v1.3,2026-08-24
Figure 4,Main,Figure,Built,Far-right support in India by ideology,outputs/paper_descriptive_figures_v1_0/main/Figure_4_india_wvs_far_right_support_by_ideology.pdf,outputs/paper_descriptive_figures_v1_0/figure_data/Figure_4_source_data.csv,R/32_build_main_descriptive_figures_v1_0.R,Observed India WVS far-right vote share by ideology; broad ideology definition,"Observed World Values Survey far-right vote shares in India, using the main ideology definition: Left 1-4, Moderate 5-6, and Right 7-10. The plotted surveys are 1990, 1995, 2001, 2006, 2012, and 2023. Far-right support is measured from respondents' party-choice or party-appeal responses: E179_WVS in WVS; E179 in EVS waves 1-4, with E181/E181A used as fallbacks where applicable; EVS wave 5 uses E181A.",v1.3,2026-08-24
Table 1,Main,Table,Built,Assembly-constituency models of centrist BJP support,outputs/paper_tables_v1_0/main/Table_1_ac_centrist_bjp_models.tex,outputs/main_regression_table_models_v1_0/09_main_ac_table_summary.csv,R/34_render_publication_tables_v1_0.R,"Raw Total and Manufacturing FDI: additive, interaction without primary controls, and interaction with primary controls; state fixed effects and baseline FDI retained","Assembly-constituency estimates of centrist BJP support in 2014. Columns 1-3 use Total local FDI and columns 4-6 use Manufacturing local FDI. Within each exposure family, the first column is additive, the second adds the Muslim-share interaction, and the third adds the primary constituency controls. All specifications retain baseline FDI and state fixed effects. Standard errors are clustered by parliamentary constituency.",v1.3,2026-08-24
Table 2,Main,Table,Built,Voter-level models of centrist BJP support,outputs/paper_tables_v1_0/main/Table_2_voter_centrist_bjp_models.tex,outputs/main_regression_table_models_v1_0/10_main_voter_table_summary.csv,R/34_render_publication_tables_v1_0.R,Unweighted centrist-voter LPMs for raw Total and Manufacturing FDI with AC random intercepts and state fixed effects,"Voter-level linear probability models of BJP voting among 2014 centrist respondents. Columns 1-3 use Total local FDI and columns 4-6 use Manufacturing local FDI. Within each exposure family, the first column is additive, the second adds the Muslim-share interaction, and the third adds the primary individual and constituency controls. All specifications retain baseline FDI, state fixed effects, and an assembly-constituency random intercept.",v1.3,2026-08-24
Figure 5,Main,Figure,Built,Manufacturing FDI and the Muslim-share gradient in centrist BJP support,outputs/manufacturing_marginal_effects_display_refinement_v1_0/07_main_figure_manufacturing_raw_1pp.pdf,outputs/manufacturing_marginal_effects_display_refinement_v1_0/02_primary_1pp_curve_with_support_metrics.csv,R/29b_manufacturing_marginal_effects_display_refinement_v1_0.R,Change in BJP support associated with a +1 percentage-point Muslim population share across current raw Manufacturing FDI,"Marginal effect of a one-percentage-point increase in Muslim population share across current Manufacturing FDI exposure. Panel A reports the assembly-constituency model and Panel B the voter-level model. The calculation incorporates the fitted current-FDI interaction while averaging the baseline-FDI contribution over the corresponding estimation sample. Shaded intervals are 95% confidence intervals. The x-axis reports raw Manufacturing FDI projects per 100,000 population.",v1.3,2026-08-24
Figure 6,Main,Figure,Built,Robustness of the FDI × Muslim-share relationship,outputs/r30_specification_curve_display_refinement_v1_0/11_main_figure_6_ac_specification_robustness_final.pdf,outputs/r30_specification_curve_display_refinement_v1_0/01_final_figure_data_reference_sd.csv,R/30d_refine_specification_curve_display_v1_0.R,Reference-standardized change in the +1-pp Muslim-share BJP-support gradient associated with a one-SD increase in registered Total or Manufacturing FDI exposure,Assembly-constituency robustness of the FDI × Muslim-share interaction across registered Total and Manufacturing FDI definitions. Effects are placed on a common scale using the Primary-sample reference standard deviation for each exposure family. Primary and Expanded control sets are shown separately. The 12-month temporal-window specifications are post-estimation robustness checks rather than part of the original primary specification.,v1.3,2026-08-24
Appendix Figure A1,Appendix,Figure,Built,Far-right support over time using the narrow ideology definition,outputs/paper_descriptive_figures_v1_0/appendix/Appendix_narrow_aid_lmic_far_right_support_over_time.pdf,outputs/paper_descriptive_figures_v1_0/figure_data/Appendix_narrow_wave_source_data.csv,R/32_build_main_descriptive_figures_v1_0.R,"Figure 1 analogue using Left 1-2, Moderate 5-6, Right 9-10",Alternative ideology-definition version of Figure 1.,v1.3,2026-08-24
Appendix Figure A2,Appendix,Figure,Built,Adjusted far-right support using the narrow ideology definition,outputs/paper_descriptive_figures_v1_0/appendix/Appendix_narrow_adjusted_far_right_support_by_ideology.pdf,outputs/paper_descriptive_figures_v1_0/figure_data/Appendix_narrow_adjusted_probabilities.csv,R/32_build_main_descriptive_figures_v1_0.R,"Figure 2 analogue using Left 1-2, Moderate 5-6, Right 9-10",Alternative ideology-definition version of Figure 2.,v1.3,2026-08-24
